,nutrient00,nutrient02,nutrient03,nutrient04,nutrient05,nutrient06,nutrient07,nutrient08,nutrient09,nutrient10,nutrient11,nutrient12,nutrient13,nutrient15,nutrient16,nutrient18,nutrient19,yield
0,3.592641289297676,22.101040680186458,4.754491266597578,14.077616435494125,12.365505515721443,16.377704340832388,16.43557813868235,8.012725725626588,8.796336078881533,16.291134878551212,14.269880346782411,8.322332942335615,14.747892559563946,1.9396492967635215,15.572515730808007,10.24539400381727,13.094387928482575,36.790829287206606
1,14.180606222439643,13.029630591094946,8.784958787682744,18.532874811791938,6.596872860441948,17.663326865634225,8.910319975714653,8.560851842546578,10.527106751399742,9.390387637944256,11.446747937557182,8.85901585426928,15.37834452895942,10.835163891984244,15.568434014203863,9.24372093570259,17.28070021593989,42.2756089237756
2,7.628794822226675,14.230177326744442,14.704533142176032,29.611461949540477,19.76580560822353,17.887987928201557,13.556576494460204,7.720698551309084,20.02144658065125,9.124518880507559,6.29947097990651,8.450983449624816,14.847425496508572,9.814552797981609,5.863204421697689,14.747832564716058,11.78435054917868,40.85978643647724
3,0.6657523315886582,16.443474842179963,18.194208272397002,11.707422606231537,7.5182906066849995,17.203340537715125,19.851607203619423,8.553543733445268,11.508934582464784,3.457264046736487,7.5167814464609535,8.466419549784945,15.479099950913733,21.453679724259104,6.799258032964472,10.993926274676143,19.73757411090637,39.93142889654111
6,20.101942997605768,14.07343068462308,0.3564214107722048,22.492755963927493,13.477037615528056,19.06887768619574,21.369731738009268,9.193039360992929,3.0473165476060746,13.288899520107252,19.39444063722499,9.208413741705975,6.341971449915067,9.860660453376179,16.725398351543788,16.854793021586488,2.039506138308923,43.1406742354462
7,16.867056753673506,13.95432537212217,24.859841869683425,15.287442055808743,5.592558200204895,16.254401109180076,14.07827323527578,7.403119828165455,6.736120457767108,10.095314015914687,14.026955483511152,7.74355472062537,7.736511911273574,3.4342220937627452,13.834022569165858,14.528827932504512,12.30387972242004,37.670472711215446
8,5.995733009337213,8.958851115782307,13.451304778508128,7.523324769321363,13.997228487889402,17.304678421240936,6.756248708007313,8.791832179265187,11.408553191818566,4.874891665136939,6.354054538133669,9.387926618351129,13.583383685172274,11.57575783959109,15.405157788282525,10.214435064939998,9.050612195387854,41.99227551377925
9,7.410110231881696,4.241183525188825,8.159289246525262,8.434860322619599,8.04061491639649,18.006709545086082,15.000420750790134,7.961408933309573,3.5437546917780356,18.651347185439686,20.989092857393516,8.922938464525767,8.231048473963721,6.202388269238737,12.588163363574058,12.587389992832994,18.16054767956104,41.402378508978444
13,6.454658264091532,16.80174325630385,6.081431878555428,8.672889071929305,15.065270961566581,16.56486991626764,19.051213994901474,8.326708939876708,5.7783059370912415,13.27792701787513,5.238728749847013,8.533574052889591,1.3279393621908113,23.277127567367565,5.816102863072032,0.41500221080558397,10.186392584622505,39.93130747593762
16,21.13056278063561,9.100127778533537,16.995624424142537,17.49497888844631,17.385352396736682,16.935310908745564,8.466120016153221,10.011714033057947,14.85458405138396,7.129655286964741,15.954992834414181,9.202188999325106,1.671060007261394,11.080793402627107,3.0694763124671702,20.701537123143837,10.444475650659557,42.9851959917863
17,6.994706075494211,2.833695276032836,11.64016309148293,17.24090291587705,16.241971840200854,18.650039310350788,15.422629434808059,8.669180493743047,8.386562188407517,14.252816613316696,14.950277072734373,9.347888042681156,11.226785646503446,16.566899671464625,14.87138149223848,20.507961230136097,7.033765919477479,42.84055472941846
19,15.919051136041272,12.730628138685592,3.98246493183394,17.08614584458591,17.02649556154008,17.051515804958917,11.82397598444727,9.154636860832928,8.238575271481018,5.265430233153574,3.3749616541082688,8.000043619122943,18.106579301891337,10.92088452740901,8.158996473587743,4.636461380959976,15.825185174278518,40.917308185495095
20,8.578668697881417,7.787048381802309,26.409974014820055,10.576951059220702,13.762499665641325,17.464828113335464,14.365709450668287,7.081840535316294,10.902813865594098,15.161967403552039,9.95122675556546,8.019492660021971,2.400099800499923,6.5531454716273325,1.4683341876975646,17.33382376349189,14.337423594902905,39.12590308742115
21,4.00454044575552,11.936154206277362,18.432341479827045,19.86970756409176,23.79682373553949,17.55351427587995,12.340767294709263,9.284370503370827,17.768938873032504,13.385818660114916,8.599360097148894,9.175991909890634,10.459331701242242,11.144708365869345,10.234741956753455,6.955920282237176,18.41597297408626,43.18700101485685
23,4.490393954881139,13.604360766394693,13.34736741777065,1.0936115373332083,7.910624964630415,16.239382970963565,22.89707986110082,7.717849238062923,6.589712442708683,8.021753817695622,17.143048623746097,8.887437354445751,4.965669364421738,18.766592619667527,19.636385497533787,12.335129235143592,6.143558164667897,39.54858977515624
24,10.898156143829002,10.35978619089406,11.450321516459672,12.718657419923755,15.453180996939121,15.71919497294447,12.560117089803743,8.71380211010871,12.783310745795042,6.568983731175994,11.363897879524036,8.885900091431749,20.050848375199006,9.363703181106228,12.444500750504845,13.96296592111349,12.715607366615037,39.817794279996285
26,9.897565050293927,13.767992588779883,27.019943317931137,10.400591133264431,4.439121939012228,16.772781333683437,14.69144955399139,8.143782726253898,22.992743795330377,6.284364265277745,11.690726194940378,7.212513748365424,14.02055980946164,10.099344061158165,2.490985702217058,14.950963407119405,18.29187379021731,37.45706752533553
27,22.20466318191422,8.727521447561045,10.838616328772346,9.041463296220495,17.654466024063655,17.582887328968532,8.822579897925191,6.996459946469422,10.369585421553788,18.804276920645794,9.39586598218088,8.553993410538691,15.550547368893419,11.244194360691825,5.237058536885827,9.555885440090089,9.242360400962172,42.36519989727611
28,8.917517630212437,10.09822453242957,9.087250692842927,9.697693905470873,6.851738900849608,15.462749224106847,17.60608967647346,7.320144158189628,8.561798277169682,9.57911051119721,11.301430023555087,7.819997559091044,4.687221392565957,14.67583023032239,14.199817462930547,8.109942492128209,11.684764638898839,36.755784580998515
29,4.801057640905871,10.757038752312221,13.5305349547946,4.382793442311168,22.15419144610734,16.655009264976535,8.840357407202147,8.67568604516497,10.283394113269807,0.7464734998532769,15.973200747155431,8.8603965357765,17.580635402574295,3.7664117040900686,11.050084492059423,16.036791724177483,7.113110968145853,40.39734206903561
31,14.96354274028673,8.303753640856753,20.801837091628727,19.555831950397078,4.266766728398508,17.199251773929138,14.16179663234463,9.218413491741723,13.763399196815557,5.456613156332429,8.84183887849073,8.013081958408637,7.195584563196931,4.064919592073549,12.425093233541727,12.362902725946014,8.123057374479721,40.56344142294128
32,0.6854293920335301,13.142252477501504,12.395949434020944,7.7463576379506325,22.737726133965523,15.283366319862303,25.548464875963084,8.472166819133534,18.554540358357865,20.12427335985675,16.4492788520845,8.07198274089193,16.32122124186563,5.29814952944678,12.127728115471548,10.260289375939392,7.369647287357814,39.36978923394284
33,15.362992520664916,7.583916846857092,5.662502963747908,23.14040650187075,6.979905948134294,17.245114433530098,11.17193069125069,8.71437683317422,21.050409235462418,0.6503606582784212,13.697919816782537,8.596305689698823,1.2944366861585994,10.60041675102254,8.399293115390268,7.505728815308796,1.4279760841098934,39.85455824330376
34,6.413889531680292,19.222616161955123,20.968156340104173,15.155977907964242,8.88567507823066,17.89779979899009,1.2897859109338548,8.770647418615692,6.996696224054991,16.31502573410967,15.570721532813236,8.434334469032729,19.870081522355058,24.26963014421318,15.607610060421143,18.854639315047663,4.100894163878557,41.71341447280697
35,8.196589218721662,7.430194478876278,8.95558931004189,15.595143304459171,11.93134295418181,17.36870206100544,4.2451788617289345,8.129170983298488,12.851361844795878,6.844175777102249,13.479519212556047,8.992835223114877,6.932195686332852,11.661676320835664,2.4763575609701682,19.65477794709755,3.1230184645857566,41.067815754653104
37,14.397389842085365,13.793087772367878,9.234550540415999,4.0045618742469955,12.501131189758238,15.734134050849688,13.115594165448321,8.641531516320967,6.350551488478139,5.0734553042893005,17.253018593542656,8.809550735274778,5.85181645081956,9.378192258632533,6.780288213794322,18.42415890027092,6.5508822501728625,37.338130681331165
38,17.95715967802254,13.5756095297266,14.78455541994283,14.416963917906468,25.315709173869024,17.777480458300673,22.18680506301847,9.148994878393706,20.838236598649814,11.807300250418386,13.866503617268393,8.636082374973439,3.801539821980736,7.960131750273514,13.781231137883085,1.9846802914498891,8.88475300102876,41.59104284688278
39,9.800036360488916,5.5948136011469805,17.32395831239627,10.13970777868834,0.14212396250105996,15.32961556637184,14.263574282748612,9.0778728755327,11.896048958674804,16.502438974798277,11.014719119251962,7.724103017230304,7.711192426406439,11.007852032050865,3.290859758652294,5.385193578929911,14.050038150466644,37.6445041206326
40,11.951234797802838,19.56041382057771,12.769700327672227,13.791999838725964,13.731786191338045,18.423255849972012,13.092723795250821,8.818371401253463,13.53258068022474,9.523718528915285,9.435856749388773,9.238193161258284,10.682315191698661,4.825498134264814,22.317865430732887,21.181340781985824,5.253634730739164,40.933162787875084
41,17.984716298199643,0.8573734888631286,0.9216996532800898,10.591170099975178,11.620601149970383,17.117793794682477,15.069719669911054,8.282854735369165,19.295487674341725,8.429837903608027,15.758577998718717,8.482769208415936,8.895497350904648,8.269228243117048,5.438706721070489,12.935146200745436,16.91540119758416,39.440341885731826
42,15.773845191898438,12.538658571199797,16.268414015700227,12.720361926476723,12.364154782951355,16.913358031857012,14.341244454152704,7.508944926116443,8.737264144068085,18.192094495608377,12.220009664351485,7.742017743506189,4.376708217546937,5.145471040309491,9.901991362750133,6.0705318781236075,15.216618524394423,37.30948106630474
45,13.265951735220582,17.177847721130206,12.71251098739736,16.57796238335395,3.899017929898781,17.65073119474105,14.986759025033052,9.018537004322503,19.914653753866894,15.576842299845342,4.4639593594602,9.010398820386202,13.134343039768684,5.899838645477232,9.623761255390757,12.585249963830552,17.329220536762854,42.31357695670478
47,13.098584393788244,18.838088069794175,10.41189502671173,10.786997975847243,16.985913520559542,16.26609576583544,6.798150613934182,7.848873541186519,22.468815096198156,10.281362430213203,19.329543775626853,8.211786666146086,9.200844329690367,15.250514746985417,18.832639822043397,13.411692477432318,13.31730244311678,38.285372518435494
49,9.208443988053268,12.702755749981609,2.3911593825531394,3.7899155453199764,16.927438259304537,14.786153613988567,8.890709839529261,8.89105366859358,11.147339221833063,11.870276783193884,17.197914471778372,8.723823144247445,4.12063116356458,11.208803502050372,7.001383086128436,7.536945250846884,12.650366559178577,41.493411437760884
50,19.11963827856282,2.01759161916279,2.5815157754587883,21.644162048272264,2.235883873792071,17.529351475314023,7.056875197023112,7.672665474527682,10.306046468537534,7.635748230264644,9.280929148839203,7.996661937259477,4.024029855242587,2.2766514527817616,2.9201556250354628,11.460294946419499,20.29654853087049,39.641537260490736
53,15.784873911840158,8.767921106571889,7.877290618150554,7.1915963492688215,18.446085059387094,17.21219222172661,7.381061599109867,9.086810740653695,18.782879771082378,2.5334741928699565,11.99083280403247,8.699369609269585,10.694291744081223,16.379866093321965,15.766173273501092,7.44105786658881,4.648096772815088,39.486820950112374
